Ticker,TOTAL ASSETS,Cash & Equivalents,Receivables - Total (Net),Inventories - Total,Sales (Net),Cost of Good Sold,GROSS PROFIT
BBY,17849,1613,2348,5897,50272,36619,13653
SNA,3729.4,572.2,704.2,329.4,2681.5,1324.6,1356.9
RCL,19694.904,419.929,266.71,126.797,6752.504,4458.076,2294.428
EXPE,6650.994,1244.174,328.468,0,3348.109,564.43,2783.679
TRIP,722.889,113.43,51.15,0,484.635,7.345,477.28999999999996
FOXA,54384,8709,6431,2392,32778,21015,11763
AZO,5571.594,114.583,125.802,2304.579,7362.618,3458.79,3903.8280000000004
PHM,7699.376,1495.226,288.436,5174.876,4569.29,4137.945,431.34500000000025
UAA,675.378,203.87,102.034,215.355,1063.927,502.72,561.2069999999999
F,164687,29012,77458,5917,128954,100478,28476
GRMN,3988.688,1285.354,747.249,387.577,2689.911,1253.375,1436.536
SWK,15139.4,1745.4,1417.1,1272,8409.6,5062,3347.6000000000004
OMC,19566.1,2300,5977.2,707.6,12542.5,10842.3,1700.2000000000007
SBUX,6385.9,1449.7,302.7,543.3,10707.4,8301.6,2405.7999999999993
BKNG,2905.953,1663.268,162.426,0,3084.905,1171.233,1913.6720000000003
CHTR,15707,32,247,0,7059,3064,3995
CMCSA,118534,6065,1855,0,37937,15170,22767
TPR,2467.115,696.398,109.068,363.285,3607.636,847.201,2760.435
DIS,69206,2722,5784,2120,38063,29624,8439
CCL,37490,429,248,320,14450,9112,5338
DHI,5938.6,1660.7,286,3716.1,4410.2,3610.4,799.7999999999997
DISCA,11019,521,996,0,3773,359,3414
DISH,9632.153,2940.377,786.053,487.575,12640.744,7211.158,5429.586
MAT,5417.733,1281.123,1146.106,463.838,5856.195,2751.245,3104.95
TSCO,1463.474,273.252,0,736.52,3638.336,2434.671,1203.665
BWA,5555,449.9,1023.9,430.6,5652.8,4306.6,1346.1999999999998
GM,138898,28946,16896,12125,135592,111571,24021
APTV,11082,3816,2548,988,13817,11427,2390
CMG,1121.605,349.604,29.186,7.098,1835.922,1346.517,489.405
IPG,13070.8,2689.4,5534.7,0,6531.9,5825.9,706
LOW,33699,1123,0,8321,48815,31663,17152
LKQ,2299.509,95.689,191.085,492.688,2469.881,1372.969,1096.9119999999998
GPC,5465.044,529.968,1364.406,2224.717,11207.589,7954.645,3252.9439999999995
MHK,6098.926,382.171,614.473,1007.503,5319.072,3615.918,1703.154
WHR,15584,1368,2278,2792,18366,15187,3179
AAP,3354.217,59.209,124.227,1863.87,5925.203,2799.451,3125.7520000000004
MGM,18961.045,648.963,497.876,96.392,6019.233,3757.542,2261.6910000000003
LEG,3001,244.5,478.9,435.3,3359.1,2619.9,739.1999999999998
LEN,8787.851,1423.54,1459.956,4673.116,3074.022,2443.157,630.8649999999998
NWL,6405.3,139.6,997.9,701.6,5759.2,3416.1,2343.1
M,20631,1516,392,4758,25003,14824,10179
AMZN,18797,8762,1324,3202,34204,26009,8195
GT,15630,2005,2736,2977,18832,14802,4030
JWN,7462,1506,2026,977,9700,5570,4130
ORLY,5047.827,29.721,183.652,2023.488,5397.525,2608.303,2789.2219999999998
HBI,3790.002,43.671,503.243,1322.719,4326.713,2825.332,1501.3809999999999
MCD,31975.2,2387,1179.1,109.9,24074.6,13236.9,10837.699999999999
HD,40125,545,1085,10625,67997,44693,23304
HAS,4093.226,749.563,961.252,364.194,4002.161,1864.771,2137.3900000000003
NCLH,5572.371,55.047,7.879,32.763,2012.128,1347.176,664.952
KO,72921,11337,4430,2650,35119,11132,23987
COST,23815,4749,884,5638,77946,67200,10746
CL,11172,564,1610,1222,15564,6006,9558
CLX,4555,87,544,367,5534,2874,2660
CVS,62169,1431,4925,10695,96413,74687,21726
PEP,68153,6369,6323,3372,57838,24056,33782
CHD,2945.194,189.202,231.055,195.401,2589.22,1360.649,1228.571
PM,35050,1703,3009,8317,27208,8869,18339
HRL,4053.918,518.44,439.464,793.771,7220.719,5846.653,1374.0659999999998
PG,128172,2879,5335,6384,78938,34811,44127
EL,5335.6,1120.7,746.2,826.6,7811.5,1560.6,6250.9
SYY,10313.701,608.954,2617.352,1771.539,37243.495,29753.409,7490.086000000003
MDLZ,95289,2481,6539,5310,49207,30076,19131
K,11847,444,1190,1056,12397,6671,5726
KMB,19864,876,2690,2373,19746,12364,7382
MNST,1082.131,599.491,101.635,153.241,1303.942,611.926,692.016
TAP,12697.6,1217.6,729.5,195,3254.4,1609.9,1644.5
MKC,3419.7,50.8,386.7,477.6,3336.8,1830.5,1506.3000000000002
CPB,6276,254,512,724,7676,4275,3401
MO,37402,2314,85,1803,16892,7351,9541
WBA,26275,1880,2450,7378,67420,47374,20046
WMT,180663,7395,5089,36318,420016,307646,112370
TSN,10752,978,1198,2274,28430,25519,2911
HSY,4272.732,884.642,390.061,533.622,5671.009,3080.38,2590.629
ADM,31548,3777,6122,7611,61682,56982,4700
SLB,51767,4990,8278,3804,27447,18587,8860
WMB,24972,795,859,303,9616,5678,3938
KMI,28908.1,592.9,971.4,94.2,8190.6,5631.1,2559.5
EOG,21624.233,788.853,1168.195,415.792,5852.807,1467.451,4385.356
CVX,184769,17070,20759,5493,189607,145064,44543
NOV,23050,3333,2425,4203,12156,7817,4339
OXY,52432,2578,5032,1041,19045,6621,12424
APC,51559,3680,2428,251,10842,3537,7305
HAL,18297,2051,3924,1940,17973,13626,4347
HP,4265.37,75.868,457.659,43.402,1875.162,1071.959,803.203
HES,35396,1608,4718,1452,33862,25544,8318
NBL,13282,1081,556,112,2904,751,2153
PSX,44955,0,10213,4113,132872,129577,3295
CXO,5368.494,0.384,268.552,0,972.576,182.381,790.195
XEC,4358.247,114.825,310.968,81.871,1713.396,504.567,1208.829
MRO,50014,3951,6250,3453,67113,57791,9322
COP,156314,10427,15812,5197,175752,149490,26262
BEN,10708.088,5330.219,1059.109,392.207,5862.869,3824.194,2038.6749999999997
PBCT,25037.1,1474.5,17345.7,39.8,1128,189.8,938.2
ALL,130874,7026,20512,0,31311,29626,1685
TRV,105181,11156,23150,0,25112,17012,8100
CMA,53667,2083,39335,135,2642,687,1955
AJG,3596,849.5,750.1,0,1863,1526.2,336.79999999999995
FITB,111007,3674,74487,2710,7066,2423,4643
USB,307786,14487,191751,9335,20518,6935,13583
JPM,2117605,271794,655208,7135,115475,29420,86055
CB,83355,5140,19554,0,15885,12150,3735
MTB,68021.263,1034.977,51087.441,220.049,3809.895,830.269,2979.626
AON,28982,1131,2701,0,8512,6711,1801
AXP,147042,22955,98050,0,30242,22930,7312
AIG,683443,117077,69424,342,76791,65059,11732
UNM,57307.7,1912.9,11676.4,0,10197.1,8637.3,1559.800000000001
NTRS,83843.9,29254,27812.4,45.5,4025.7,538,3487.7
CINF,15095,668,1819,0,3772,3177,595
SCHW,92568,27680,20829,42277,4474,3005,1469
BK,247259,77593,37310,6,14483,619,13864
ICE,26642.259,698.904,114.456,0,1149.944,230.684,919.26
HIG,318346,45315,14805,0,22167,19056.5,3110.5
ZION,51034.886,5630.439,35307.09,505.863,2745.836,1444.594,1301.2419999999997
C,1913902,400941,755924,267059,111465,79124,32341
NAVI,205307.049,10596.82,188233.249,0,6868.381,2666.017,4202.3640000000005
CME,35046.1,905.4,370.3,0,3003.7,894.7,2109
MMC,15310,1894,3035,0,10550,8713,1837
NDAQ,16207,4069,298,0,3197,2410,787
BAC,2264909,344476,898555,37032,134194,52409,81785
AMG,5291.215,429.293,278.382,0,1358.242,625.473,732.769
DFS,60784.968,6838.66,44744.194,788.101,8241.217,6473.045,1768.1720000000005
BBT,157081,2694,100859,4998,11072,4433,6639
ETFC,46373.001,2983.856,20787.073,62.173,2398.493,1854.065,544.4279999999999
CBOE,254.112,53.789,51.098,0,437.104,239.872,197.23199999999997
SPGI,7046.561,1547.752,990.573,275.102,6168.331,2335.428,3832.9030000000002
STI,172874,5378,113001,4097,10072,4140,5932
BRK.B,372229,45458,36143,7101,135028,110297,24731
STT,160505,28473,11857,0,9716,788,8928
SIVB,17527.761,3076.432,5439.11,0,709.261,88.224,621.0369999999999
TROW,3642,813.1,339.8,4.8,2370.7,1271.2,1099.4999999999998
RE,18407.971,1624.215,1826.528,0,4635.067,4058.739,576.328
KEY,91843,1622,48503,633,5362,1535,3827
RJF,17883.081,6795.094,8620.202,1336.987,2979.516,2537.037,442.47900000000027
HBAN,53819.642,982.926,36857.499,860.087,3187.25,1161.134,2026.116
MET,730906,31611,95180,3321,52471,46229,6242
COF,197503,10542,121507,228,18939,12677.9,6261.1
RF,132351,6919,79679,1939,8218,4120,4098
WFC,1258128,94357,734245,59062,93249,23792,69457
LLY,31001.4,6727,4158.1,2517.7,23076,3231.4,19844.6
MTD,2283.063,447.577,368.936,217.104,1968.178,909.938,1058.2400000000002
ILMN,1839.113,894.289,165.598,142.211,902.741,259.192,643.549
IDXX,897.144,156.915,120.08,127.885,1103.392,480.669,622.7230000000001
VAR,2323.952,520.221,591.677,363.933,2356.585,1282.65,1073.935
INCY,489.581,443.153,5.701,0,169.878,155.108,14.769999999999982
VRTX,1725.446,1031.411,12.529,0,143.37,140.83,2.539999999999992
AGN,5827.3,293.9,560.9,631,3566.9,1866.3,1700.6000000000001
ABT,59462.266,7323.94,7184.034,3188.734,35166.721,11382.887,23783.833999999995
ALXN,1012.037,361.605,178.097,62.165,540.957,48.882,492.075
JNJ,102908,27658,9774,5378,61587,15853,45734
